Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mikal Bridges,14,0.585,19.6,3.7,2,5.7,0.09,0.4,-0.9,-0.5,1.2
Josh Hart,16.5,0.611,15.3,5.4,3.8,9.2,0.153,1.1,1.8,2.8,3.6
Anthony Edwards,20.1,0.595,31.4,4.6,3.8,8.4,0.14,4.4,0,4.3,4.6
Devin Booker,19.3,0.589,29.3,6.1,0.3,6.4,0.111,2.8,-2.4,0.4,1.7
James Harden,20,0.582,29.6,4,4.3,8.3,0.143,3.5,0.8,4.3,4.4
DeMar DeRozan,17.7,0.569,25,5.7,1.4,7.1,0.123,1.2,-1.2,-0.1,1.3
Trae Young,18.3,0.567,29.6,4.4,1.3,5.7,0.1,3.3,-2.7,0.5,1.7
Tyler Herro,19.7,0.605,28,4.7,2.7,7.4,0.131,3.8,-0.7,3.1,3.5
OG Anunoby,15.4,0.591,19.7,3.7,2.8,6.5,0.116,0.7,0.1,0.7,1.9
Jalen Green,15.1,0.544,27.3,1.9,3.2,5.1,0.092,1.1,-0.5,0.5,1.7
Christian Braun,16,0.665,15.8,6.2,1.9,8,0.144,0.8,-0.5,0.3,1.6
Bam Adebayo,18.9,0.561,23.5,3.5,4,7.5,0.135,1,1,2,2.7
Ivica Zubac,22.3,0.641,19.5,7,4.7,11.7,0.215,2.3,0.8,3.1,3.4
Jayson Tatum,21.7,0.582,31.2,5.3,4.2,9.5,0.174,4.4,0.8,5.2,4.8
Jaden McDaniels,13.3,0.562,16.3,2.3,3.9,6.3,0.115,-1.4,1.4,0,1.4
Keegan Murray,12,0.553,15,2.4,2.1,4.4,0.082,-0.8,-0.8,-1.6,0.2
Zach LaVine,17.3,0.639,25.3,3.7,1.4,5.1,0.094,2.3,-1.6,0.7,1.8
Zach LaVine,18.4,0.637,26.6,2,1,3,0.101,2.7,-1,1.6,1.3
Zach LaVine,15.9,0.642,23.7,1.7,0.4,2.1,0.086,1.8,-2.3,-0.4,0.5
Shai Gilgeous-Alexander,30.7,0.637,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9
Michael Porter Jr.,16.2,0.617,20.2,4.6,1.8,6.4,0.118,1.6,-1.7,-0.1,1.2
Derrick White,16.6,0.606,19.8,5.1,3.4,8.5,0.158,2.7,0.8,3.5,3.6
Dyson Daniels,15.6,0.545,18.2,1.3,3.7,5,0.093,-1.1,2.6,1.5,2.3
Nikola Jokic,32,0.663,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8
Austin Reaves,18.1,0.616,23.7,5.6,2.1,7.6,0.144,2.4,-0.5,1.9,2.6
Toumani Camara,12.5,0.572,14.4,2.5,2.6,5.2,0.097,-0.9,0.8,-0.1,1.2
Pascal Siakam,19.2,0.599,24.2,5,2.5,7.5,0.142,2.2,-0.5,1.7,2.4
Brook Lopez,14.8,0.624,15.8,3.6,2.9,6.6,0.124,0.4,0.4,0.8,1.8
Karl-Anthony Towns,23.4,0.63,27.4,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5
Bub Carrington,9,0.514,15.8,-0.4,0.6,0.2,0.005,-3.3,-1.3,-4.6,-1.6
Cade Cunningham,20.6,0.565,33.2,3,2.9,5.9,0.115,3.8,0.1,3.9,3.7
Tyrese Haliburton,21.8,0.616,21.6,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9
Coby White,15.5,0.601,24.4,3,1.5,4.5,0.088,0.5,-1.4,-0.9,0.7
LeBron James,22.7,0.604,30.1,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7
Domantas Sabonis,22.9,0.655,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4
Jamal Murray,17.8,0.584,24,4.6,1.6,6.2,0.123,1.8,-1,0.8,1.7
Alperen Sengun,21.4,0.545,26.2,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9
Dillon Brooks,11,0.555,17.7,2.7,2.5,5.1,0.103,-1.4,0,-1.4,0.4
Rudy Gobert,18.3,0.687,13,6.1,4,10.1,0.204,0.6,1.3,1.9,2.4
Tobias Harris,13.9,0.571,17.6,2.3,2.9,5.2,0.108,-0.5,0.6,0.1,1.2
Darius Garland,19.9,0.6,27.2,5.8,2.3,8.1,0.169,3.9,-0.8,3.1,3
Jalen Brunson,21.6,0.605,29.5,6.8,1.4,8.3,0.172,4.7,-1.3,3.3,3.1
Jarrett Allen,22.1,0.724,15.9,7.6,4,11.6,0.243,3,1.2,4.2,3.6
Chris Paul,14.7,0.58,14,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6
Anfernee Simons,14.9,0.557,24.6,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1
Giannis Antetokounmpo,30.5,0.625,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6
Malik Beasley,14.4,0.59,22.5,2.9,1.8,4.7,0.1,2,-1.2,0.8,1.6
Kentavious Caldwell-Pope,9.9,0.574,12.4,1.5,3.1,4.6,0.096,-3,1.6,-1.4,0.3
Nikola Vucevic,20.3,0.611,22.4,4.7,2.6,7.3,0.153,2.5,0.1,2.6,2.7
Payton Pritchard,17.6,0.633,19,6.1,2.5,8.6,0.183,3.4,0.2,3.5,3.2
Kevin Durant,21.2,0.642,28.7,4,1.2,5.2,0.111,3.9,-0.7,3.2,3
Shaedon Sharpe,14.5,0.551,25.1,1.3,1.7,3,0.064,0,-1.3,-1.3,0.4
Stephen Curry,21.5,0.618,29.8,5.2,2.7,7.9,0.168,6.4,0,6.3,4.8
De'Aaron Fox,18.3,0.56,28.3,2.6,1.7,4.3,0.093,1.3,-1,0.4,1.3
De'Aaron Fox,19,0.567,29.1,2.2,1.3,3.5,0.101,2,-0.8,1.2,1.3
De'Aaron Fox,16.3,0.537,26,0.5,0.4,0.9,0.071,-0.6,-1.4,-2,0
Jalen Williams,20.3,0.573,27.5,3.7,4.1,7.8,0.168,2.7,1.4,4,3.4
Donovan Mitchell,20.9,0.575,30.9,4.8,2.8,7.6,0.163,3.8,-0.2,3.7,3.2
Harrison Barnes,14.9,0.656,15.7,5,0.5,5.6,0.12,1.7,-1.7,0,1.2
Julius Randle,17.5,0.593,25,3.6,2.6,6.2,0.134,1.5,-0.2,1.3,1.8
Amen Thompson,18.7,0.602,17.5,4.1,3.9,8,0.172,1.4,2.6,4.1,3.4
Jaren Jackson Jr.,19.6,0.591,28.1,3.2,3.2,6.4,0.139,1.6,0.8,2.3,2.4
Desmond Bane,17.9,0.6,23.3,4,2.6,6.5,0.142,2.6,0.6,3.2,2.9
Naz Reid,15.8,0.577,21.5,2.4,3.3,5.7,0.125,0.8,0.8,1.6,2
Tyus Jones,14.5,0.585,16.2,4,0.3,4.4,0.096,1.4,-1.3,0.1,1.1
Myles Turner,16.1,0.612,20.7,1.8,2.9,4.7,0.104,0,0.4,0.4,1.3
Evan Mobley,22.3,0.633,23.2,5.3,3.8,9,0.2,3.1,1.5,4.6,3.6
Taurean Prince,9.8,0.613,12.5,1.3,2.2,3.5,0.077,-2,0.3,-1.7,0.1
Stephon Castle,13.7,0.522,26,0.1,1,1.1,0.025,-1.5,-1.7,-3.2,-0.6
Deni Avdija,17.7,0.605,23.2,3.1,2.5,5.6,0.124,1.5,0.6,2.1,2.2
Jaylen Brown,17.8,0.555,28.9,2.3,2.9,5.2,0.115,0.4,-0.4,0,1.1
Tim Hardaway Jr.,9.8,0.567,15.5,2.1,1.4,3.5,0.077,-1.1,-0.9,-2.1,0
Bennedict Mathurin,13.6,0.579,22.8,1.3,1.8,3,0.068,-1.3,-1.5,-2.9,-0.5
Spencer Dinwiddie,13,0.553,17.9,2.4,1.2,3.7,0.082,-0.9,-0.7,-1.6,0.2
Scottie Barnes,17.8,0.523,27,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3
Max Christie,10.4,0.57,15.2,1.1,1.6,2.7,0.06,-2.1,-0.5,-2.5,-0.3
Max Christie,10.6,0.598,13.9,1,0.9,2,0.081,-1.8,0,-1.8,0
Max Christie,10.2,0.543,16.8,0,0.7,0.7,0.035,-2.4,-1,-3.4,-0.3
Josh Giddey,18.1,0.57,21.7,2.8,2.5,5.3,0.121,1.9,1.1,3,2.7
Fred VanVleet,12.8,0.515,17.7,2.4,2.8,5.2,0.119,-0.4,1.3,0.9,1.5
Keyonte George,12.9,0.539,24.3,0.9,0.1,1.1,0.024,-0.2,-2.5,-2.7,-0.3
Dennis Schroder,12.7,0.531,21.6,1.5,1.7,3.2,0.073,-1.3,-0.9,-2.2,-0.1
Dennis Schroder,16,0.588,23.8,1.1,0.5,1.6,0.099,1.1,-1.1,0,0.4
Dennis Schroder,8.4,0.474,21.2,-0.5,0.7,0.2,0.012,-4.6,-0.6,-5.2,-0.5
Dennis Schroder,12.9,0.515,19.6,0.9,0.5,1.5,0.1,-0.9,-1.2,-2.1,0
Damian Lillard,21.3,0.621,27.8,5.6,2,7.6,0.175,4.7,-0.6,4,3.2
Russell Westbrook,14.3,0.532,23.8,-0.1,2.1,1.9,0.045,-0.9,-0.2,-1.1,0.5
Kelly Oubre Jr.,13.5,0.551,18.9,1.2,1.4,2.6,0.061,-1.7,-0.6,-2.3,-0.1
Nickeil Alexander-Walker,11.6,0.579,16,2,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8
Luguentz Dort,11.3,0.586,13.6,2.4,3.2,5.6,0.129,-0.6,0.8,0.2,1.2
Onyeka Okongwu,19,0.634,17.3,4.9,2.3,7.2,0.168,1.2,0.2,1.3,1.7
Malik Monk,15,0.549,24.6,1.3,1.4,2.8,0.065,0.3,-1.1,-0.8,0.6
Jaylen Wells,10.5,0.56,15.9,2.1,1.4,3.5,0.083,-1.2,-1,-2.2,-0.1
Jalen Duren,21.4,0.703,16.4,5.9,3.4,9.2,0.218,1.6,1.5,3.1,2.7
Jalen Wilson,9.5,0.541,16.6,0.9,1,1.9,0.046,-2.6,-1.3,-3.9,-1
Miles Bridges,17.7,0.541,28,1.3,1.8,3.2,0.075,2.3,-0.5,1.8,2
Davion Mitchell,10.2,0.573,13.6,1.3,1.6,3,0.07,-2.8,0.2,-2.6,-0.3
Davion Mitchell,7.9,0.536,13.1,0,0.7,0.7,0.031,-4,-0.3,-4.3,-0.6
Davion Mitchell,12.9,0.611,14.2,1.3,1,2.3,0.114,-1.5,0.8,-0.6,0.3
Franz Wagner,20.1,0.558,31,2.6,3.1,5.6,0.133,2.6,0.5,3.1,2.6
Quentin Grimes,15.9,0.595,22.8,2,1.4,3.4,0.081,1.3,-0.9,0.4,1.2
Quentin Grimes,13.3,0.599,18.5,1,0.8,1.7,0.078,0.1,-0.4,-0.3,0.5
Quentin Grimes,18.8,0.592,27.5,1,0.6,1.6,0.083,2.7,-1.5,1.2,0.8
Jordan Poole,16.6,0.591,29,1.2,0.8,2,0.047,2,-1.6,0.4,1.2
Draymond Green,12.4,0.534,15.9,0.3,3.4,3.7,0.088,-2.3,2.8,0.5,1.3
Devin Vassell,14.2,0.553,22.1,0.9,1.3,2.2,0.054,-0.3,-0.8,-1.1,0.4
Klay Thompson,12.9,0.552,21.8,0.7,1.1,1.8,0.045,0.7,-1.6,-1,0.5
Tyrese Maxey,19.5,0.562,29.8,2.9,1,3.8,0.094,3.2,-1.1,2,2
Norman Powell,17.5,0.615,26.1,2.9,2.3,5.3,0.129,1.7,-0.2,1.5,1.8
Yves Missi,15.4,0.572,14.3,2.5,1.1,3.6,0.089,-1.6,-1.4,-3,-0.5
Keon Ellis,13.5,0.664,12.7,2.7,2.2,5,0.122,-0.1,2,1.9,1.9
Bilal Coulibaly,10.8,0.515,17.9,-0.6,0.9,0.3,0.008,-3,-0.7,-3.7,-0.8
Kyle Kuzma,10.6,0.514,24,-2.3,1.3,-0.9,-0.024,-2.9,-2,-4.9,-1.4
Kyle Kuzma,10.6,0.488,27.1,-1.7,0.4,-1.3,-0.068,-3,-2.3,-5.2,-0.7
Kyle Kuzma,10.5,0.545,21.4,-0.6,0.9,0.3,0.014,-2.9,-1.8,-4.7,-0.7
Julian Champagnie,12.2,0.577,17.2,1.3,1.2,2.5,0.062,-0.3,-0.9,-1.3,0.4
Keon Johnson,10.4,0.499,21.7,-1.3,1.9,0.5,0.014,-3.1,-0.1,-3.3,-0.6
Naji Marshall,15.1,0.584,20,2,1.5,3.5,0.087,-0.3,-0.5,-0.8,0.6
Jrue Holiday,13.5,0.565,15.8,2.8,2.4,5.1,0.13,-0.3,1,0.7,1.3
Guerschon Yabusele,14.7,0.616,16.3,2.9,1,3.9,0.099,0.1,-1.1,-1,0.5
Gary Trent Jr.,11.7,0.591,17.1,1.6,1.7,3.3,0.084,-1.2,-0.4,-1.6,0.2
Anthony Black,11.6,0.521,19.6,-0.6,3,2.4,0.061,-3.1,1.2,-1.9,0
Josh Green,7.8,0.559,11.8,0.4,1,1.5,0.037,-4.5,0.2,-4.3,-1.1
Nic Claxton,16.5,0.569,16.8,1.8,2.5,4.3,0.11,-1.1,1.5,0.4,1.1
Andrew Nembhard,11.7,0.545,16.3,1.1,1.7,2.8,0.071,-2.6,0.3,-2.3,-0.1
Cason Wallace,12.3,0.562,12.8,1.8,3.4,5.2,0.133,-1.5,2.6,1,1.5
Derrick Jones Jr.,13.5,0.609,16.5,2.1,2.6,4.7,0.12,-1,0.7,-0.3,0.8
Rui Hachimura,13.6,0.619,15.8,2.8,1.5,4.3,0.11,-0.1,-0.6,-0.7,0.6
RJ Barrett,16.5,0.547,28.7,0.6,1.7,2.4,0.061,1.2,-0.7,0.6,1.2
Buddy Hield,12.3,0.56,20.5,0.6,2.2,2.8,0.073,-0.7,-0.3,-1,0.5
Trey Murphy III,17.3,0.598,23.7,3,0.5,3.5,0.091,2.1,-1.4,0.8,1.3
Zaccharie Risacher,12.2,0.558,20.9,0.6,1.1,1.8,0.046,-1.7,-1.8,-3.5,-0.7
Andrew Wiggins,16.4,0.566,24.5,1.9,2.1,4,0.104,1.2,-0.3,0.9,1.4
Andrew Wiggins,16.4,0.566,23.5,1.7,1.5,3.2,0.119,1.4,-0.4,1,1
Andrew Wiggins,16.4,0.566,26.7,0.2,0.6,0.8,0.069,0.8,-0.1,0.7,0.4
Isaiah Collier,9.7,0.494,18.9,-1.3,0.5,-0.8,-0.021,-3.8,-1.5,-5.3,-1.6
Keldon Johnson,15.6,0.572,21.6,2.2,1,3.2,0.083,0,-1.6,-1.6,0.2
Royce O'Neale,12.6,0.585,15.5,1.6,1.2,2.8,0.073,0.2,-0.1,0.1,1
P.J. Washington,14,0.556,20.4,0.3,2.1,2.4,0.062,-1.1,0.2,-0.9,0.5
CJ McCollum,15.8,0.55,27.2,1.3,0.2,1.5,0.038,1.2,-2.6,-1.4,0.3
Haywood Highsmith,9.9,0.583,11.3,1.3,2.1,3.3,0.088,-2.7,0.9,-1.9,0.1
Dorian Finney-Smith,10.1,0.604,12.3,1.5,1.4,2.9,0.078,-1.1,0.1,-1,0.5
Dorian Finney-Smith,12.2,0.613,14.2,0.7,0.5,1.1,0.094,-0.1,0.1,0,0.3
Dorian Finney-Smith,9.2,0.598,11.5,0.9,0.9,1.8,0.07,-1.6,0.1,-1.5,0.2
Alex Sarr,12.9,0.482,23.5,-1.6,1.3,-0.3,-0.007,-2.2,-1,-3.3,-0.6
Kyrie Irving,19.9,0.594,27.4,3.4,1.3,4.6,0.124,3.9,-0.5,3.4,2.5
Kyshawn George,8.8,0.503,15.9,-0.9,1.1,0.1,0.003,-3.8,-0.3,-4.1,-0.9
Cameron Johnson,18.2,0.632,22.9,3.8,1.3,5.1,0.137,3.5,-0.4,3.1,2.3
Duncan Robinson,11.8,0.595,19.2,1.3,1.4,2.7,0.071,-0.7,-1.1,-1.7,0.1
Kris Dunn,11.3,0.531,12.7,0.8,3.2,4,0.108,-2.8,3.4,0.6,1.2
Luka Doncic,24.1,0.587,33.9,3.5,2.4,5.9,0.16,5.5,1.2,6.7,3.9
Luka Doncic,24.2,0.584,33.1,1.5,1.1,2.5,0.155,5.5,1.4,6.9,1.8
Luka Doncic,23.9,0.59,34.5,2,1.4,3.4,0.164,5.5,1.1,6.5,2.1
Scoot Henderson,12.5,0.54,22.5,0.4,1.4,1.8,0.049,-1.4,-0.8,-2.2,-0.1
Wendell Carter Jr.,13.7,0.544,16,1.6,3,4.6,0.125,-2.2,0.9,-1.2,0.3
Collin Sexton,16.6,0.593,27,2.5,-0.1,2.4,0.066,1.7,-2.3,-0.6,0.6
Mike Conley,13.3,0.573,14.4,3,2.2,5.2,0.142,-0.1,1.3,1.2,1.4
Amir Coffey,11.2,0.614,15.3,2.4,1.7,4,0.111,-1.5,-0.2,-1.7,0.1
Jimmy Butler,22.4,0.626,20.8,6.6,2,8.7,0.238,4,1,4.9,3
Jimmy Butler,22.8,0.638,21.1,2.9,0.8,3.7,0.233,4.2,0.6,4.8,1.3
Jimmy Butler,22.2,0.617,20.6,3.7,1.2,4.9,0.242,3.8,1.2,5,1.7
Aaron Wiggins,16.1,0.596,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4
Walker Kessler,20,0.66,13.7,3.6,1.8,5.4,0.149,1.1,0.7,1.8,1.7
De'Andre Hunter,15.9,0.623,22.8,3,1.4,4.4,0.122,1.2,-0.8,0.4,1
De'Andre Hunter,15.8,0.616,24.2,1.6,0.6,2.2,0.1,0.9,-1.4,-0.4,0.4
De'Andre Hunter,16.2,0.634,20.5,1.4,0.8,2.2,0.157,1.6,0,1.6,0.6
Ochai Agbaji,12,0.601,14.6,1.6,1.5,3.1,0.087,-0.9,0.2,-0.7,0.5
Brandin Podziemski,14.4,0.557,18.3,1.9,2.3,4.2,0.117,-0.1,0.8,0.7,1.2
Jabari Smith Jr.,12.6,0.562,16.4,1.9,2.2,4.2,0.117,-0.8,0.1,-0.7,0.6
Anthony Davis,26.3,0.588,30.4,3.7,3,6.7,0.188,3.9,1.5,5.4,3.2
Anthony Davis,27.1,0.601,30.2,3.6,2.6,6.2,0.207,4.5,1.5,6,2.9
Anthony Davis,21.7,0.52,31.2,0.1,0.4,0.5,0.088,1.2,1.3,2.5,0.3
Bradley Beal,15.2,0.598,22.1,1.9,0.6,2.4,0.068,-0.1,-1,-1.1,0.4
Georges Niang,11.2,0.607,17.9,1.5,1.4,2.9,0.081,-1.1,-1.2,-2.3,-0.1
Georges Niang,11.1,0.617,16.5,1.1,1.1,2.2,0.099,-1.3,-0.5,-1.8,0.1
Georges Niang,11.4,0.595,20.3,0.4,0.3,0.7,0.051,-0.8,-2.3,-3.1,-0.2
Jakob Poeltl,20,0.641,18.7,3,2.5,5.5,0.158,0.7,1.3,2,1.7
Scotty Pippen Jr.,15.8,0.582,19.3,2.4,2.3,4.7,0.133,0,1.8,1.9,1.7
Kevin Huerter,11.3,0.544,17.5,0.6,1.3,1.9,0.054,-1.8,-0.2,-2,0
Kevin Huerter,10.6,0.524,17.2,0.1,0.8,0.8,0.044,-2.3,0,-2.3,-0.1
Kevin Huerter,12,0.566,17.8,0.5,0.6,1.1,0.066,-1.2,-0.3,-1.5,0.1
Santi Aldama,16.8,0.588,18.5,2.9,2,5,0.144,2.5,0.7,3.2,2.2
