Player,Team,Matches,Starter,Minutes_A,FieldGoalsMade_A,FieldGoalsAttempted_A,FieldGoalPercentage,ThreePointersMade_A,ThreePointersAttempted_A,ThreePointPercentage,EffectiveFieldGoalPercentage,FreeThrowsMade_A,FreeThrowsAttempted_A,FreeThrowPercentage,OffensiveRebounds_A,DefensiveRebounds_A,TotalRebounds_A,Assists_A,PersonalFouls_A,FoulsOn_A,Steals_A,Turnovers_A,Blocks_A,BlocksReceived_A,Points_A,PointsSecondChance_A,PointsFastBreak_A,PointsInThePaint_A,DD,TD,PlusMinusPoints_A,TOR,PPP,PIE,Supercoach,FP,FIC,ARR,FieldGoalsMade_40,FieldGoalsAttempted_40,ThreePointersMade_40,ThreePointersAttempted_40,FreeThrowsMade_40,FreeThrowsAttempted_40,OffensiveRebounds_40,DefensiveRebounds_40,TotalRebounds_40,Assists_40,PersonalFouls_40,FoulsOn_40,Steals_40,Turnovers_40,Blocks_40,BlocksReceived_40,Points_40,PointsSecondChance_40,PointsFastBreak_40,PointsInThePaint_40,PlusMinusPoints_40,Supercoach_40,FP_40,FIC_40,ARR_40
Admiral Schofield,Cairns,30,15,21.9272222222222,3.167,7.867,40.254,1.533,4.733,32.394,50,0.933,1.5,62.222,0.867,3.467,4.333,1.433,2.267,,0.3,1.733,0.3,,8.8,,,,1,0,,14.823,85.77,3.486,14.5,16.217,4.971,1.714,5.777,14.351,2.797,8.635,1.703,2.736,1.581,6.324,7.905,2.615,4.135,,0.547,3.162,0.547,,16.053,,,,,26.451,29.583,9.068,2.89
Akech Aliir,South East Melbourne,29,0,11.2505747126437,1.414,3.621,39.048,0.345,1.345,25.641,43.81,1.172,1.552,75.556,1.034,1.483,2.517,1.138,1.586,,0.483,0.483,0.655,,4.345,,,,0,0,,8.149,90.778,2.322,11.586,12.003,4.194,1.435,5.027,12.873,1.226,4.781,4.168,5.517,3.678,5.272,8.95,4.046,5.64,,1.716,1.716,2.329,,15.447,,,,,41.193,42.677,14.911,4.823
Alex Ducas,Brisbane,30,24,23.2755555555556,3.167,8.833,35.849,1.533,5.4,28.395,44.528,0.667,0.833,80,0.4,2.4,2.8,1.5,1.767,,0.8,1.1,0.2,,8.533,,,,0,0,,9.322,82.848,3.205,15.133,16.043,4.313,1.702,5.442,15.18,2.635,9.28,1.146,1.432,0.687,4.124,4.812,2.578,3.036,,1.375,1.89,0.344,,14.665,,,,,26.007,27.571,7.411,2.757
Alex Higgins-Titsha,Cairns,9,3,19.6777777777778,2.556,5.556,46,0.556,2.111,26.316,51,0.667,1.444,46.154,2,2.556,4.556,1,2.111,,1,1,0.667,,6.333,,,,0,0,,12.208,88.072,3.871,15.889,17.3,6.153,1.962,5.195,11.293,1.129,4.291,1.355,2.936,4.065,5.195,9.26,2.033,4.291,,2.033,2.033,1.355,,12.874,,,,,32.298,35.167,12.507,3.846
Alex McNaught,New Zealand,2,0,2.33333333333333,0.5,1.5,,0,0,,,0,0.5,,0,0.5,0.5,0,0,,0,0,0,,1,,,,0,0,,0,58.14,0,1.5,1.6,0.062,0.213,8.571,25.714,0,0,0,8.571,0,8.571,8.571,0,0,,0,0,0,,17.143,,,,,25.714,27.429,1.071,1.247
Andrew Andrews,Cairns,31,31,33.1994623655914,5.097,12.871,39.599,1.677,5.452,30.769,46.115,2.903,3.774,76.923,0.484,2.71,3.194,7.581,2.677,,0.581,3.742,0.194,,14.774,,,,7,0,,14.473,80.85,7.111,29.097,28.558,9.496,2.68,6.141,15.507,2.021,6.568,3.498,4.547,0.583,3.265,3.848,9.133,3.226,,0.7,4.508,0.233,,17.801,,,,,35.057,34.408,11.441,3.138
Angus Glover,South East Melbourne,35,0,20.9561904761905,3.543,8.2,43.206,2.2,5.971,36.842,56.62,1.086,1.371,79.167,0.6,2.371,2.971,2.029,1.371,,0.657,0.857,0.114,,10.371,,,,0,0,,7.333,107.358,5.426,18,18.437,7.343,1.809,6.762,15.652,4.199,11.398,2.072,2.618,1.145,4.526,5.672,3.872,2.618,,1.254,1.636,0.218,,19.796,,,,,34.357,35.192,14.016,3.159
Anthony Drmic,Tasmania,15,3,14.9022222222222,1.6,4.533,35.294,1,2.933,34.091,46.324,0.6,0.933,64.286,0.733,1.267,2,0.667,1.533,,0.533,0.467,0.067,,4.8,,,,0,0,,7.679,88.714,1.637,9,9.533,2.767,1.052,4.295,12.168,2.684,7.874,1.61,2.505,1.968,3.4,5.368,1.789,4.116,,1.432,1.253,0.179,,12.884,,,,,24.157,25.589,7.426,2.476
Archie Woodhill,Tasmania,16,1,5.85625,0.375,0.812,46.154,0,0,,46.154,0.312,0.312,,0.5,0.875,1.375,0.125,0.562,,0.125,0.188,0.062,,1.062,,,,0,0,,14.851,93.407,0.87,2.875,3.275,1.336,0.415,2.561,5.55,0,0,2.134,2.134,3.415,5.977,9.392,0.854,3.842,,0.854,1.281,0.427,,7.257,,,,,19.637,22.369,9.125,2.142
Austin Foxwell,South East Melbourne,1,0,3.13333333333333,1,1,,0,0,,,0,0,,0,0,0,0,0,,0,1,0,,2,,,,0,0,,50,100,0.885,0,1,0.25,0.19,12.766,12.766,0,0,0,0,0,0,0,0,0,,0,12.766,0,,25.532,,,,,0,12.766,3.191,0.602
